Drug,Pathway (ID/Name),Regulation (corrected),Effect (corrected),"Rationale (correct, baseline-focused)"
Elacestrant,WP_ESTROGEN_SIGNALING,Up,Sensitive,"KEGG estrogen-signaling integrates ER genomic and non-genomic outputs. In metastatic ER+/HER2– disease, ESR1 mutations maintain or enhance estrogen-signaling despite AIs; EMERALD demonstrated a clinically meaningful PFS improvement with elacestrant vs standard endocrine therapy, particularly in ESR1-mutant tumors, indicating that high estrogen-signaling dependence → elacestrant sensitivity, even in AI-resistant settings."
Elacestrant,HALLMARK_ESTROGEN_RESPONSE_LATE,Up,Sensitive,"Multi-omic datasets of endocrine-resistant ER+ breast cancer show that relapsed tumors and resistant clones often have reduced estrogen-response gene-set scores and attenuated ER program, with a shift toward alternative signaling and metabolic pathways; such tumors are less dependent on ER and show poorer response to further endocrine/SERD therapy, including elacestrant."
Elacestrant,HALLMARK_E2F_TARGETS,Up,Sensitive,"Elacestrant downregulates cell-cycle regulators and proliferation markers, including E2F-regulated genes, in ER+ and CDK4/6i-resistant models, leading to growth inhibition and cell-cycle arrest. Baseline high E2F-target expression reflects a strongly proliferative, ER-cyclin D–CDK4/6-driven state that elacestrant can partially shut down; such tumors often remain endocrine-dependent despite prior CDK4/6i, so Up E2F → more substrate for elacestrant’s antiproliferative effect (recognizing that very extreme proliferation can also mark more aggressive biology)."
Elacestrant,HALLMARK_G2M_CHECKPOINT,Up,Sensitive,"Preclinical elacestrant studies show robust suppression of proliferation, reduced Ki-67, and tumor regression in multiple ER+ cell lines and PDXs, including those with prior CDK4/6i exposure. Baseline elevated G2/M and cell-cycle gene expression indicates actively cycling, ER-driven luminal tumors; such tumors provide more proliferative substrate for elacestrant to arrest, so Up G2/M → relative sensitivity, although very aggressive, highly proliferative clones may harbor additional resistance mechanisms."
Elacestrant,HALLMARK_MTORC1_SIGNALING,Up,Resistant,"Hyperactivation of PI3K/AKT/mTOR (via PIK3CA mutation, PTEN loss, RTK activation) is a well-established mechanism of endocrine resistance in ER+ MBC. Genomic profiling of endocrine-resistant disease shows frequent PI3K pathway alterations at progression; these lesions provide ER-independent survival signals and blunt the efficacy of ER-targeted agents, including SERDs. Preclinical data show that combining elacestrant with PI3K or mTOR inhibitors can resensitize such tumors, implying that baseline Up PI3K/AKT/mTOR is a resistance factor for elacestrant monotherapy, partially overcome in rational combinations."
Elacestrant,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,"Independent of the mTORC1 subset, global PI3K–Akt activation (PIK3CA mutations, AKT activation, PTEN loss) is repeatedly linked with poor endocrine therapy response and earlier relapse. Clinical and translational series show higher rates of PI3K pathway alterations in endocrine-resistant vs sensitive ER+ tumors; these alterations attenuate dependence on ER, so Up PI3K-Akt → reduced elacestrant benefit relative to PI3K-wild-type disease, though EMERALD still shows some PFS gain in such subgroups."
Elacestrant,KEGG_ERBB_SIGNALING_PATHWAY,Up,Resistant,"Upregulated HER2/EGFR/FGFR and broader RTK signaling provides strong mitogenic and survival input that can bypass ER dependence, producing HER2-enriched / Luminal-to-HER2-like phenotypes with poor response to endocrine therapy alone. Multiple preclinical and clinical datasets link RTK activation and FGFR1 amplification to endocrine resistance in ER+ breast cancer; by class extrapolation, tumors with high RTK signaling are less likely to be controlled by elacestrant monotherapy, and typically require combination strategies (e.g., anti-HER2/FGFR + SERD)."
Elacestrant,HALLMARK_APOPTOSIS,Down,Resistant,"Estrogen signaling promotes survival by modulating pro- and anti-apoptotic gene expression; endocrine therapies and SERDs are most effective when ER+ cells are primed for apoptosis. Transcriptomic studies show that endocrine-resistant ER+ tumors frequently exhibit increased survival signaling and reduced pro-apoptotic gene expression. Consequently, baseline low HALLMARK_APOPTOSIS activity (strong anti-apoptotic bias) is expected to correlate with poor ability to execute cell death after ER degradation, i.e. relative resistance to elacestrant, even if ER signaling is biochemically suppressed."
Entrectinib,REACTOME_SIGNALING_BY_NTRKS,Up,Sensitive,"In NTRK-fusion–positive breast cancers (most commonly secretory carcinoma with ETV6–NTRK3, but also rare non-secretory cases), the TRK pathway is constitutively activated and functions as the dominant oncogenic driver. Entrectinib potently inhibits TRKA/B/C and leads to high, durable response rates in NTRK-fusion solid tumors, including breast, when TRK signaling is active and untreated."
Entrectinib,HALLMARK_KRAS_SIGNALING_UP,Up,Resistant,"If an NTRK-fusion breast tumor also harbors activating RAS/MAPK lesions (e.g., KRAS/NRAS/BRAF mutations, MEK1 alterations) or a high KRAS/MAPK signature, the tumor can maintain ERK signaling independent of TRK, blunting the effect of entrectinib. Convergent MAPK activation is a well-described resistance mechanism to TRK inhibition in multi-tumor series and in entrectinib-treated models; the same biology would predict primary/early resistance if present at baseline in breast cancer."
Entrectinib,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Sensitive,"When the PI3K–AKT–mTOR axis is not already activated by independent genomic events, the tumor is more reliant on NTRK → PI3K/AKT signaling. Entrectinib then effectively shuts down both MAPK and PI3K branches, favoring apoptosis. Preclinical TRK-driven models show strong pro-apoptotic effects when PI3K/mTOR is not independently activated, and dual TRK + PI3K/mTOR blockade further deepens responses."
Entrectinib,REACTOME_SIGNALING_BY_MET,Up,Resistant,"MET amplification or overexpression reactivates RAS–MAPK and PI3K–AKT independent of TRK. MET amplification has been directly documented as a mechanism of acquired resistance to entrectinib in ROS1+ NSCLC, and TRK-i reviews highlight MET as a recurrent bypass node. If such MET activation exists at baseline in an NTRK-fusion breast tumor, entrectinib monotherapy is unlikely to produce deep or durable responses."
Entrectinib,HALLMARK_APOPTOSIS,Up,Sensitive,"Tumors with intact apoptotic machinery can rapidly execute apoptosis once TRK signaling is shut off. In TRK-inhibitor models, responders show strong induction of cleaved caspases and apoptosis gene signatures after treatment; the clinical pattern of deep, rapid regressions in many NTRK-fusion tumors is consistent with this “primed” state. Baseline apoptotic competence is therefore a positive modifier of entrectinib sensitivity."
Entrectinib,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Up,Resistant,"EMT-high states generally correlate with reduced dependence on a single RTK, lower proliferation, increased drug-tolerant persisters, and activation of alternative RTKs (AXL, FGFR, MET). TRK-resistance reviews list EMT and lineage plasticity as non-genetic resistance mechanisms; although most data are from other tumor types, an EMT-high signature in NTRK-fusion breast cancer would plausibly predict shallower or shorter responses to entrectinib."
Entrectinib,KEGG_ERBB_SIGNALING_PATHWAY,Up,Resistant,"In a HER2-positive breast cancer that also carries an NTRK fusion, HER2 amplification often remains the dominant driver of PI3K/MAPK signaling. In such a setting, TRK inhibition alone may not fully suppress downstream growth pathways; clinically, HER2-addicted tumors generally require HER2-directed therapy. Thus, baseline high HER2 activity is expected to blunt the benefit of entrectinib monotherapy, unless HER2 is co-inhibited. Evidence is extrapolated from multi-driver RTK settings and tumor-agnostic TRK-i series rather than from large NTRK+ HER2+ BC cohorts."
Everolimus,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Sensitive,"Hyperactivation of PI3K/AKT/mTOR via PIK3CA mutation, PTEN loss, or RTK activation drives proliferation and endocrine resistance in HR+/HER2− and some TNBC tumors. Everolimus (mTORC1 inhibitor) is most effective when the tumor is addicted to this axis; low-activity PI3K/AKT/mTOR tumors derive less benefit. (PubMed)"
Everolimus,HALLMARK_MTORC1_SIGNALING,Up,Sensitive,"High mTORC1 output (p-S6K, p-4EBP1) marks tumors with strong translational drive and cell-cycle progression. Everolimus directly inhibits mTORC1; tumors with elevated baseline p-S6K/4EBP1 show greater growth suppression, while those with weak mTORC1 activity or activating mTOR mutations that blunt inhibition are less responsive. (Nature)"
Everolimus,WP_ESTROGEN_SIGNALING,Up,Sensitive,"Tumors with a strong estrogen-response signature (HALLMARK_ESTROGEN_RESPONSE) are ER-driven and depend on ER signaling for growth. In this setting, everolimus plus endocrine therapy improves PFS by blocking mTORC1-mediated escape from endocrine therapy and by downregulating ER expression/activity. ER-negative or ER-pathway-low tumors show minimal benefit. (PubMed)"
Everolimus,HALLMARK_E2F_TARGETS,Up,Sensitive,"High E2F target expression (Cyclin E, DNA-replication genes, high Ki-67) indicates rapidly proliferating, mTORC1-dependent tumors. Everolimus causes G1 arrest and reduces E2F target expression; thus, tumors with high baseline proliferation signatures tend to have greater cell-cycle arrest and clinical benefit, whereas indolent/low-E2F tumors gain less. (Physiology Journals)"
Everolimus,GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM,Up,Resistant,"mTORC1 normally suppresses autophagy. Tumors with high basal autophagy or strong autophagy induction under everolimus can recycle nutrients and clear damaged components, surviving mTORC1 blockade. Genetic or pharmacologic inhibition of autophagy (e.g., Beclin-1, LC3 modulation or agents like melittin) re-sensitizes breast-cancer cells to everolimus, supporting “autophagy-high” as a resistance state. (Physiology Journals)"
Everolimus,HALLMARK_MYC_TARGETS_V1,Up,Resistant,"Everolimus-resistant ER+ and long-term estrogen-deprived models frequently show MYC upregulation and dependency. High MYC or MYC-target signatures allow maintenance of growth and metabolism even when mTORC1 is inhibited. MYC inhibition or suppression re-sensitizes these cells to mTOR inhibitors, and high MYC expression in metastatic breast cancer correlates with poor response to everolimus. (PMC)"
Everolimus,KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY,Up,Resistant,"Everolimus selectively inhibits mTORC1 but spares mTORC2. When upstream RTKs (IGF1R, EGFR, HER2/HER3) or PI3K are strongly active, mTORC1 inhibition relieves feedback, leading to AKT hyperactivation via mTORC2 and other routes. Tumors with strong RTK/AKT signaling at baseline or that rapidly ramp up AKT under therapy tend to maintain survival signaling and show clinical or acquired resistance to everolimus. (Wikipedia)"
Everolimus,HALLMARK_ANGIOGENESIS,Up,Sensitive,"Tumors with high STAT3 → HIF-1α → VEGF signaling are highly vascular and rely on pathological angiogenesis. Everolimus downregulates this axis, reducing VEGF production, microvessel density and, in some models, lymphangiogenesis. Angiogenesis-high tumors therefore have more “room” for everolimus to exert anti-angiogenic and growth-suppressive effects; where VEGF/HIF signaling is low or bypassed by alternative angiogenic pathways, this mechanism contributes less and resistance is more likely. (PMC)"
Everolimus,KEGG_MEDICUS_REFERENCE_PDL_PD1_SHP_PI3K_SIGNALING_PATHWAY,Up,Resistant,"In TNBC 4T1 models, everolimus monotherapy inhibited mTOR signaling but increased PD-L1 expression on intratumoral endothelial cells, reduced CD8⁺ T-cell infiltration and failed to control tumor growth. Combination with PD-1 blockade normalized vasculature, restored CD8⁺ infiltration, and overcame this resistance. Baseline or therapy-induced high PD-L1 and an immune-cold microenvironment therefore align with poor response to everolimus alone but may define candidates for everolimus + ICI combinations. (PubMed)"
Exemestane,REACTOME_ESTROGEN_BIOSYNTHESIS,Up,Sensitive,ER+ breast tumors selected for Exemestane typically show active peripheral/intratumoral estrogen biosynthesis via aromatase (CYP19A1). High estrogen production makes the tumor dependent on this axis; irreversible aromatase blockade by Exemestane depletes estrogen and suppresses growth.
Exemestane,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,Up,Sensitive,Classical AI-sensitive tumors rely on ligand-dependent ERα signaling: high ER expression and ER-regulated transcription drive proliferation. Depriving estrogen with Exemestane shuts down this ESR pathway. ESR1 activating mutations or loss of ER reduce AI benefit and drive resistance.
Exemestane,WP_ESTROGEN_SIGNALING,Up,Sensitive,Broad estrogen signaling (genomic nuclear ER and rapid non-genomic membrane ER effects) is typically active in hormone-dependent tumors. Exemestane indirectly suppresses both arms by lowering estrogen levels; high baseline estrogen signaling therefore predicts benefit.
Exemestane,REACTOME_METABOLISM_OF_STEROID_HORMONES,Up,Sensitive,"In postmenopausal HR+ breast cancer, steroid hormone metabolism is skewed toward local estrone/estradiol production from adrenal precursors. High activity of this estrogenic branch provides substrate for ER signaling and makes tumors more susceptible to aromatase inhibition with Exemestane."
Exemestane,KEGG_ERBB_SIGNALING_PATHWAY,Up,Resistant,"Upregulated EGFR/HER2→MAPK signaling provides a ligand-independent growth/survival route that bypasses ER. In Exemestane-resistant models, Exemestane induces AREG, which stimulates EGFR–MAPK and sustains proliferation despite estrogen depletion; clinically, HER2/EGFR activation is a key endocrine-resistance mechanism."
Exemestane,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,"Constitutive PI3K/AKT/mTOR activation (PIK3CA mutation, PTEN loss, RTK activation) uncouples proliferation and survival from ER/estrogen, leading to intrinsic or acquired resistance to aromatase inhibitors. This underpins clinical benefit from combining endocrine therapy with mTOR (everolimus) or PI3K/AKT inhibitors in HR+ disease."
Exemestane,HALLMARK_ANDROGEN_RESPONSE,Up,Sensitive,"AR is co-expressed in ~70–80% of ER+ cancers and frequently marks luminal, lower-grade, endocrine-responsive disease. In this setting, moderate AR activity can antagonize ER-driven proliferation and is associated with better prognosis, although high AR/ER ratios or specific contexts can also contribute to resistance. Overall, AR-positive luminal tumors are generally suitable for AI therapy."
Exemestane,HALLMARK_E2F_TARGETS,Up,Resistant,"High G2M/E2F/Ki67 signatures reflect rapidly proliferating luminal B biology. Such tumors are often less durably controlled by AI monotherapy, show shorter time to treatment failure on AIs, and are more likely to need chemotherapy or combination targeted therapy. Strong down-regulation of this signature after short-term Exemestane is a good PD marker of sensitivity, but baseline high G2M/E2F tends to predict relative endocrine resistance."
Exemestane,HALLMARK_APOPTOSIS,Down,Sensitive,"The key determinant for AI benefit is capacity to induce apoptosis when ER signaling is withdrawn. In neoadjuvant AI studies, successful endocrine therapy leads to increased apoptotic index together with reduced Ki67; tumors that fail to upregulate apoptosis despite estrogen deprivation show poorer outcomes. Baseline pro-/anti-apoptotic balance is heterogeneous, but therapy-induced Apoptosis↑ is a marker of Exemestane sensitivity.[Up on-treatment (baseline direction not fixed)]"
Exemestane,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Up,Resistant,"EMT programs (loss of epithelial markers, gain of mesenchymal/stem-like traits) confer invasion, metastatic potential, and broad drug resistance. EMT-high luminal tumors often show reduced ER dependence and worse response to endocrine therapies, including AIs."
Exemestane,HALLMARK_IL6_JAK_STAT3_SIGNALING,Up,Resistant,"Chronic IL-6/JAK/STAT3 and TNF/NFκB signaling promotes a pro-inflammatory, pro-survival microenvironment, enhances stem-like features, and down-modulates ER signaling. Intratumoral inflammation signatures, high STAT3/NFκB activity, and cytokine-rich microenvironments have been linked to endocrine resistance and poorer outcomes in HR+ breast cancer."
Fulvestrant,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,Up,Sensitive,"Tumors that depend on active ER signaling are more likely to respond to ER degradation by fulvestrant; if ER signaling is already low/down, the tumor is less ER-dependent and fulvestrant is less likely to produce benefit. (PubMed Central)"
Fulvestrant,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,Activating PIK3CA/PI3K–AKT signaling promotes cell survival and mediates endocrine (including fulvestrant) resistance; combining PI3K inhibitors with fulvestrant shows clinical benefit in PIK3CA-mutant disease. (PubMed)
Fulvestrant,KEGG_ERBB_SIGNALING_PATHWAY,Up,Resistant,"Upregulated HER family signaling provides bypass survival/proliferation signals and can be induced after ER blockade (fulvestrant can increase ErbB3/HER2 expression), producing resistance unless co-targeted. (PubMed Central)"
Fulvestrant,KEGG_MAPK_SIGNALING_PATHWAY,Up,Resistant,ERK pathway activation sustains proliferation and can circumvent ER loss; ERK activation correlates with fulvestrant resistance and combining ERK/MEK inhibition can restore sensitivity in models. (PubMed Central)
Fulvestrant,BIOCARTA_NFKB_PATHWAY,Up,Resistant,"NF-κB drives expression of anti-apoptotic/pro-survival genes (e.g., BCL2 family); IRF1 induction suppresses NF-κB and promotes fulvestrant-induced apoptosis — active NF-κB therefore promotes resistance. (PubMed Central)"
Fulvestrant,REACTOME_GPER1_SIGNALING,Down,Resistant,Repression/loss of GPER1 has been linked experimentally to fulvestrant resistance (GPER modulation and epigenetic changes observed in resistant cell models). (PubMed Central)
Fulvestrant,GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION,Up,Resistant,Upregulation of CDK6 (and/or cyclin D/CDK4/6 axis) enables G1→S progression despite ER loss; high CDK6 correlates with shorter PFS on fulvestrant and combining CDK4/6 inhibitors with fulvestrant is effective clinically. (PubMed)
Fulvestrant,GOCC_RB_E2F_COMPLEX,Down,Resistant,RB1 loss abrogates the G1 checkpoint and undermines fulvestrant-induced G1 arrest; RB loss is associated with endocrine resistance. (PubMed Central)
Fulvestrant,REACTOME_INTERFERON_GAMMA_SIGNALING,Up,Sensitive,IFNγ induces IRF1/STAT1 which suppresses NF-κB and anti-apoptotic BCL2 family members and promotes caspase activation — IRF1 activity restores fulvestrant sensitivity in resistant models. (PubMed)
Fulvestrant,REACTOME_APOPTOSIS,Up,Sensitive,Fulvestrant’s anti-tumor effect in ER+ cells involves induction of caspase-dependent apoptosis (IRF1/BAX/BAK mediated); active apoptotic machinery facilitates drug efficacy. (PubMed Central)
Lapatinib,KEGG_ERBB_SIGNALING_PATHWAY,Up,Sensitive," In HER2-amplified breast cancer, ErbB signaling is constitutively **up**, driving MAPK and PI3K/AKT. Lapatinib is indicated exactly in this context: tumors are “addicted” to HER2/EGFR; blocking the kinases collapses downstream signaling and halts proliferation. If ErbB signaling is not upregulated at baseline (non-HER2-driven), lapatinib benefit is limited. "
Lapatinib,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant," HER2 amplification normally drives **PI3K/AKT/mTOR upregulation**, and HER2-dependent PI3K signaling is successfully switched off by lapatinib in sensitive tumors. However, when PI3K/AKT is hyperactivated by **PIK3CA mutations or PTEN loss**, the pathway can remain active despite HER2 blockade, mediating intrinsic or acquired resistance. "
Lapatinib,HALLMARK_E2F_TARGETS,Up,Sensitive," Baseline HER2+ tumors often show high E2F and G1/S gene expression (Cyclin D1, CDK4/6 targets), reflecting rapid proliferation. Lapatinib sensitivity associates with **on-treatment suppression** of these E2F targets. Tumors that already have RB loss or very high CCND1 can bypass HER2-CDK4/6 control and may be less inhibited by lapatinib. "
Lapatinib,HALLMARK_ESTROGEN_RESPONSE_EARLY,Up,Resistant," In ER+/HER2+ (“triple-positive”) disease, blocking HER2 can de-repress **FOXO3A-mediated ER transcription**, increasing ER dependence and allowing tumors to survive on ER signaling. High ER signaling at baseline predicts **limited benefit from HER2-only blockade**; adding aromatase inhibitors or SERMs/SERDs improves response. "
Lapatinib,NAGASHIMA_NRG1_SIGNALING_UP,Up,Resistant, An autocrine **heregulin (NRG1)–HER3–EGFR–PI3K** axis maintains PI3K/AKT and ERK signaling even when HER2 is inhibited. Baseline high heregulin/HER3 or rapid induction during therapy drives resistance to lapatinib and other EGFR/HER2 TKIs; blocking HER3 or PI3K/mTOR restores sensitivity in models. 
Lapatinib,REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING,Up,Resistant," GRB7 is frequently co-amplified with HER2. Lapatinib-mediated AKT inhibition can relieve GRB7 repression, further increasing its expression. High GRB7 enhances receptor tyrosine kinase and FAK-driven survival/migration. Knock-down of GRB7 increases lapatinib activity, indicating that **high baseline GRB7 is an adverse, resistance-leaning feature**. "
Lapatinib,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Up,Resistant," In HER2+ breast tumors, chronic HER2 blockade selects for **AXL-high clones**. AXL activation reinstates MAPK and PI3K signaling independent of HER2, driving proliferation, migration and metastasis despite lapatinib. High baseline AXL or EMT signatures predict **poor response**, and AXL inhibition can re-sensitize cells. "
Lapatinib,REACTOME_SIGNALING_BY_MET,Up,Resistant," Activated **MET–HGF** signaling provides an alternate RTK driver that maintains PI3K/MAPK activity when HER2 is inhibited. In HER2-amplified breast cancer models, HGF stimulation or MET overexpression reduces lapatinib-induced apoptosis and proliferation arrest; MET inhibition reverses resistance. "
Lapatinib,REACTOME_FOXO_MEDIATED_TRANSCRIPTION,Up,Sensitive," In sensitive HER2+ breast cancer cells, lapatinib induces **FOXO3A activation and p27^Kip1 upregulation**, enforcing G1 arrest. Tumors where FOXO3A/p27 are already low or cannot be induced (e.g. miR-221-mediated p27 suppression) show reduced G1 arrest and **lapatinib resistance**. Thus a baseline state where FOXO3A/p27 are **intact and not heavily downregulated** predicts better response. "
Lapatinib,BIOCARTA_G1_PATHWAY,Up,Sensitive," HER2 signaling feeds into Cyclin D1/CDK4 and RB phosphorylation, driving E2F and proliferation. Lapatinib can suppress Cyclin D1 and induce RB hypophosphorylation in sensitive tumors. However, **RB loss** or very high Cyclin D1/CDK4 activity uncouples cell cycle from HER2, limiting the effect of HER2 TKIs. Thus a typical HER2-addicted, RB-proficient tumor with upregulated Cyclin D1/CDK4 is still **sensitive**, whereas RB-defective or CCND1-amplified tumors are more **resistant**. "
Lapatinib,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Up,Resistant," Recent work shows lapatinib can **increase mitochondrial respiration and OXPHOS proteins** in HER2+ cells even while inhibiting proliferation, suggesting a metabolic shift toward oxidative ATP production. Lapatinib-resistant cells upregulate metabolic stress and glucose-deprivation response networks, often involving ERRα-regulated oxidative metabolism. Thus a baseline or easily inducible **OXPHOS-high state** is interpreted as a **potential resistance-leaning adaptation**, though this is less validated than RTK-based mechanisms. "
Lapatinib,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Up,Resistant," In **EGFR-positive TNBC** models (HER2-negative), lapatinib paradoxically activates **NF-κB and COX-2**, increasing motility and metastasis; NF-κB activation can be exploited to sensitize to proteasome inhibitors but does **not** define a good lapatinib monotherapy indication. For standard HER2+ breast cancer, NF-κB status is not a primary biomarker for prescribing lapatinib; in EGFR-driven TNBC with NF-κB-high phenotype, lapatinib alone is unlikely to be beneficial and may be harmful. "
Lapatinib,BIOCARTA_PTEN_PATHWAY,Down,Resistant," PTEN is a major negative regulator of PI3K/AKT. HER2+ breast tumors with **PTEN loss or very low PTEN** maintain AKT phosphorylation even when HER2 is inhibited, leading to impaired response to trastuzumab and HER2 TKIs including lapatinib. Clinically, PTEN-low HER2+ tumors show worse outcomes on HER2-targeted therapy, consistent with **resistance**. "
Lapatinib,HALLMARK_APOPTOSIS,Down,Resistant," Lapatinib’s durable effect requires not just cell-cycle arrest but also **induction of apoptosis** in HER2+ cells. Tumors with low baseline BIM/BAX or high anti-apoptotic molecules (BCL-2, BCL-xL, survivin) show attenuated apoptosis on HER2 blockade and develop resistance. Lapatinib-resistant models often exhibit rewired apoptotic signaling; strategies that re-engage apoptosis (e.g., BH3 mimetics, TRAIL agonists) can overcome resistance. "
Larotrectinib,REACTOME_SIGNALING_BY_NTRKS,Up,Sensitive,"In secretory breast carcinoma (SBC) and rare other NTRK-fusion breast cancers, ETV6–NTRK3 or other NTRK fusions create a constitutively active TRK oncoprotein that drives proliferation and survival. Larotrectinib selectively inhibits TRKA/B/C, shutting down this pathway and producing high response rates irrespective of tumor histology."
Larotrectinib,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Sensitive,"Activated TRK receptors signal to PI3K–AKT–mTOR, promoting survival and resistance to apoptosis. In TRK-fusion models, larotrectinib acutely suppresses phospho-AKT/mTOR and induces tumor regression. However, many non-NTRK-driven breast cancers also have high PI3K/AKT, so this hallmark alone should not be used as a prescribing biomarker for larotrectinib."
Larotrectinib,HALLMARK_KRAS_SIGNALING_UP,Up,Sensitive,"TRK activation engages the RAS/MAPK cascade, driving proliferation. Preclinical TRK-fusion models show that larotrectinib inhibits downstream ERK phosphorylation together with PI3K/AKT, consistent with addiction of the MAPK arm to TRK signaling. However, MAPK activation is ubiquitous in breast cancer and is not specific for NTRK fusions."
Larotrectinib,HALLMARK_APOPTOSIS,Down,Sensitive,"Oncogenic TRK signaling promotes cell survival and inhibits apoptosis. In TRK-fusion models and clinical biopsies, TRK inhibition (including larotrectinib) leads to increased apoptotic markers and tumor shrinkage. Nevertheless, low apoptosis is a general hallmark of malignancy and does not uniquely identify NTRK-fusion-positive breast cancer."
Letrozole,HALLMARK_ESTROGEN_RESPONSE_LATE,Up,Sensitive,"Letrozole suppresses aromatase → lowers estrogen → turns off ER-target genes and reduces proliferation. Tumors with high “estrogen response” gene-set scores tend to have better outcomes on endocrine therapy, because they are truly estrogen-driven; loss of estrogen response or ligand-independent signaling is a resistance feature. (PMC)"
Letrozole,KEGG_STEROID_HORMONE_BIOSYNTHESIS,Up,Sensitive,"Letrozole is a potent non-steroidal aromatase inhibitor; it works best when tumor growth depends on local estrogen synthesis from androgens. High aromatase/steroidogenesis provides a clear pharmacologic target; if estrogen biosynthesis is already low and ER signaling is ligand-independent, AI benefit is attenuated. (PMC)"
Letrozole,HALLMARK_E2F_TARGETS,Up,Resistant,"ER-positive tumors that respond to neoadjuvant letrozole show marked early reductions in Ki67 and cell-cycle gene expression; low residual proliferation after short-term letrozole predicts good outcome. By contrast, tumors that maintain high E2F4/FOXM1/PLK1-driven proliferation despite estrogen deprivation are resistant. So baseline Up indicates endocrine-driven proliferation (targetable), but failure to downregulate cell-cycle programs on AI marks resistance. (PMC)"
Letrozole,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,"Activation of PI3K/AKT/mTOR promotes survival and growth despite estrogen deprivation and is repeatedly associated with endocrine (including AI) resistance. High AKT activity confers resistance to letrozole in preclinical models, and multiple clinical/biological datasets link pathway activation to ET failure and justify PI3K/mTOR inhibitors as combination partners with AIs. (Annals of Oncology)"
Letrozole,KEGG_MAPK_SIGNALING_PATHWAY,Up,Resistant,"Growth-factor signaling via MAPK/ERK provides a parallel proliferation axis that can maintain cyclin D–CDK4/6 activity even when ER signaling is blocked. Clinical and preclinical data tie hyperactive MAPK (often with HER2 or FGFR cross-talk) to luminal B biology, higher proliferation, and reduced endocrine responsiveness. Letrozole may transiently reduce ER-driven MAPK, but tumors that maintain or re-activate MAPK/ERK tend to be resistant. (ScienceDirect)"
Letrozole,HALLMARK_APOPTOSIS,Down,Resistant,"Most breast tumors exhibit suppressed apoptosis (high BCL-2/BCL-XL etc.). Effective estrogen deprivation shifts the balance toward apoptosis and/or senescence in ER-dependent cells. Letrozole-sensitive tumors show antiproliferative effects and can undergo apoptosis; resistant tumors often have survival pathway activation (e.g. PI3K/AKT, HIF-1α, etc.) that maintains anti-apoptotic signaling so they fail to die despite ER blockade. Baseline apoptosis per se is less predictive than the ability to increase apoptosis on treatment. (PMC)"
Letrozole,PID_FOXM1_PATHWAY,Up,Resistant,"FOXM1 is a master regulator of cell-cycle progression, proliferation, and metastasis; it is overexpressed in many breast cancers, and high FOXM1 is strongly associated with resistance to endocrine therapies. Functional data show that FOXM1 drives stem-like, invasive, therapy-resistant states, and that FOXM1 or its network is enriched in tumors resistant to prolonged neoadjuvant letrozole. (PMC)"
Letrozole,PID_PLK1_PATHWAY,Up,Resistant,PLK1 is a key mitotic kinase closely linked to FOXM1 and high Ki67. Kinome-wide screens and expression analyses show that PLK1 activity correlates with hormone-independent proliferation; PLK1 and FOXM1 transcripts are co-upregulated in hormone-independent and endocrine-resistant tumors. Pathway enrichment in letrozole non-responders identifies PLK1-associated signaling as activated. (PMC)
Letrozole,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,Up,Resistant,"SDC1 is a heparan-sulfate proteoglycan involved in cell–matrix interaction, growth-factor presentation, EMT, and stem-like phenotypes. It is often overexpressed in ER-negative, highly proliferative breast cancers, and is linked to metastasis and therapy resistance across tumor types. In ER⁺ disease, SDC1 can modulate IL6/STAT3 and EGFR pathways, potentially fostering endocrine escape, but specific clinical data tying SDC1 upregulation to letrozole failure are sparse → treat as plausible but cross-context extrapolation. (Frontiers)"
